sku,nome,categoria,preco
3342343,ChromeBook HP 11A G8 Education Edition A4 1.6GHz 4GB 321GB eMMC 11.6 HD Chrome,Notebook,139.9
3125793,ChromeBook HP 11A G8 Education Edition AMD A4 1.60GHz 4GB 16GB eMMC 11.6 HD Chr,Notebook,139.9
3271247,ChromeBook Lenovo IdeaPad 3 CB 14IGL05 Intel N4020 4GB 64GB eMMC 14.0 HD Chrome,Notebook,160
3085233,ChromeBook Samsung XE310XBA-KA1US Celeron 1.10GHz 4GB 32GB 11.6 HD Chrome OS,Notebook,165
3129685,Notebook Acer A114-33-C6W2 Intel N4500 4GB 64GB eMMC 14.0 HD W11,Notebook,204
3304587,Notebook Acer A314-35-C3KD Intel Celeron N4500 4GB 128GB SSD 14.0 HD W11 Espanh,Notebook,263
3348314,Notebook Acer A314-35-C8JY Intel Celeron N4500 4GB 500GB HDD 14.0 HD W11,Notebook,265
3305478,Notebook Asus F515JA-AH31 Intel i3-1005G1 4GB 128GB SSD 15.6 FHD W10,Notebook,350
3317693,Notebook Asus FA507RE-A15.R73050T R7-6800H 8GB 512GB SSD RTX 3050 Ti 4GB 15.6 F,Notebook,865
3256060,Notebook Asus FX506LH-AS51 i5-10300H 8GB 512GB SSD GTX 1650 4GB 15.6 FHD W11,Notebook,750
3297025,Notebook Asus FX706HCB-ES51 i5-11400H 8GB 512GB SSD RTX 3050 4GB 17.3 FHD W11,Notebook,855
2705323,Notebook Asus L510MA-WB04 Intel Celeron N4020 4GB 128GB eMMC 15.6 FHD W10,Notebook,248
3272749,Notebook Asus L510MA-WB04 Intel Celeron N4020 4GB 128GB eMMC 15.6 FHD W10 (caix,Notebook,248
3306710,Notebook Asus M1603QA-R7512 AMD Ryzen 7 5800H 16GB 512GB SSD 16.0 WUXGA W11,Notebook,688
3269558,Notebook Asus R410MA-212.BK128 Intel Celeron N4020 4GB 128GB eMMC 14.0 HD W10,Notebook,192
3290569,Notebook Asus R565EA-US51T Intel i5-1135G7 8GB 256GB SSD 15.6 Touch FHD W11,Notebook,500
3306727,Notebook Asus ROG G513QY-SG15 R9 16GB 512GB SSD RX 6800M 12GB 15.6 WQHD W11,Notebook,1368.00
2843445,Notebook Asus UX325EA-DS51 Intel i5 de 11a 8GB 256GB SSD 13.3 FHD W10 + Estojo,Notebook,885
3082225,Notebook Asus VivoBook X712JA-212.V17WN-11 Intel i5-1035G1 12GB 1TB HDD 17.3 HD,Notebook,430
3033913,Notebook Asus X515JA-212.V15BB Intel i3 de 10a 8GB 256GB SSD 15.6 HD W10,Notebook,385
