sku,nome,categoria,preco
1219746,Walkman Sony MDR-WS623 BM 4GB Bluetooth NFC Preto,Fone de Ouvido,100
3055397,SSD Adata Swordfish 2TB 3D NAND M.2 2280 PCIe Gen3x4 - ASWORDFISH-2T-C,Memoria SSD,139
2812960,SSD Externo S3+ Portable 256GB S3SSDP256 - USB-C,Memoria SSD,25.5
2812953,SSD Externo S3+ Portable 512GB S3SSDP512 - USB-C,Memoria SSD,47
2850962,SSD Interno Crucial P5 2TB NVMe PCIe 2280 M.2 - CT2000P5SSD8,Memoria SSD,139.5
3259634,SSD Interno WD Blue SA510 1TB NVMe PCIe 2280 M.2 - WDS100T3B0B-00AXS0,Memoria SSD,99
3259658,SSD Interno WD Blue SA510 500GB NVMe PCIe 2280 M.2 - WDS500G3B0B-00AXS0,Memoria SSD,56
3259672,SSD Interno WD Green 480GB NVMe PCIe 2280 M.2 - WDS480G3G0B,Memoria SSD,28.5
2600321,SSD KEEPDATA 120GB SATA III 6GB s - KDS120G-L21,Memoria SSD,10.5
2735498,SSD Keepdata 128GB M.2 6GB s KDM128G-J12,Memoria SSD,10.9
2960661,SSD KeepData 128GB NVMe PCIe Gen 3.0 x 4 - KDNV128G-J12,Memoria SSD,15.9
3165102,SSD Keepdata 1TB M.2 NGFF 2280 KDM1T-J12,Memoria SSD,52.9
3165133,SSD Keepdata 1TB M.2 NVMe PCIe Gen 3.0 KDNV1T-J12,Memoria SSD,58.9
2879192,SSD KeepData 2.5 480GB SATA III 6GB s - KDS480G-L21,Memoria SSD,25.9
2600338,SSD KEEPDATA 240GB SATA III 6GB s - KDS240G-L21,Memoria SSD,15.5
2735504,SSD Keepdata 256GB M.2 6GB s KDM256G-J12,Memoria SSD,15.9
2960678,SSD KeepData 256GB NVMe PCIe Gen 3.0 x4 - KDNV256G-J12,Memoria SSD,20.9
3269879,SSD KeepData 2TB 2.5 SATA 6GB s 10X - KDS2T-L21,Memoria SSD,95.9
3269862,SSD KeepData 2TB M.2 2280 - KDM2T-J12,Memoria SSD,96.9
3265833,SSD KeepData 2TB NVMe PCIe Gen 3.0 x4 - KDNV2T-J12,Memoria SSD,118.9
2879208,SSD Keepdata 512GB M.2 6GB s KDM512G-J12,Memoria SSD,27.9
2960685,SSD KeepData 512GB NVMe PCIe Gen 3.0 x4 - KDNV512G-J12,Memoria SSD,32.9
3165041,SSD KeepData 960GB 2.5 SATA III 6GB s - KDS960G-L21,Memoria SSD,49.9
3068588,SSD Lexar NM610 M.2 2280 NVMe 500GB - LNM610-500RBNA,Memoria SSD,45.75
3011201,SSD M.2 NVMe Kingston NV1 250GB -SNVS 250GB,Memoria SSD,24.9
3286548,SSD M.2 NVMe Kingston NV2 1TB SNV2S 1000G - 3500MB s,Memoria SSD,58.25
3286364,SSD M.2 NVMe Kingston NV2 500GB SNVS 500G - 3500MB s,Memoria SSD,34.5
792769,SSD Plus SanDisk 240GB 2.5 SATA 3.0 6Gbit s L-530MB s e G-440MB s SDSSDA-240G-G,Memoria SSD,18.25
3222256,SSD WD Green 480GB SATA III 6 GB s - WDS480G3G0A,Memoria SSD,27.75
2690162,SSD WD Green SN350 480GB NVMe PCIe 2280 M.2 - 2400Mbps WDS480G2G0C,Memoria SSD,33.9
2989686,SSD Western Digital WD_BLACK 500GB SN850 M.2 2280 NVMe - WDS500G1X0E-00AFY0,Memoria SSD,96
2755335,Caneta Digital Huion Scribo PW310,Mesa Digitalizadora,28
2544977,Caneta Huion Digital Pen sem Bateria - PW500,Mesa Digitalizadora,36
2544991,Caneta Huion Digital Pen sem Bateria - PW517,Mesa Digitalizadora,36
2634661,Luva Huion GL200 Sketch para Bloquear Atrito em Mesa Digitalizadora Preto,Mesa Digitalizadora,7.9
2755359,Mesa Digitalizadora Huion Inspiroy H952-B - Preto 221 x 138mm,Mesa Digitalizadora,80
3078723,Mesa Digitalizadora Huion Inspiroy RTP-700 - Cosmo Black 279.4 x 174.6mm,Mesa Digitalizadora,110
3078693,Mesa Digitalizadora Huion Inspiroy RTS-300 - Cosmo Black 160 x 100mm,Mesa Digitalizadora,62
2545097,Mesa Digitalizadora Huion Kamvas 13 GS1331-G - Verde 293.76x165.24mm,Mesa Digitalizadora,272
2544960,Mesa Digitalizadora Huion Kamvas 13 GS1331-P - Roxo 293.76x165.24mm,Mesa Digitalizadora,272
2545080,Mesa Digitalizadora Huion Kamvas PRO GT-156P Premium 15.6 - Preto,Mesa Digitalizadora,478
3078747,Mesa Digitalizadora Huion Keydial KD200 Wireless Bluetooth - 226 x 142.88mm,Mesa Digitalizadora,165
2545004,Mesa Digitalizadora Huion Led Light A2 - Micro-USB 20.47 x12.6,Mesa Digitalizadora,100
2545042,Mesa Digitalizadora Huion Led Light L4S - Micro-USB 8.27 x12.20,Mesa Digitalizadora,40
2545028,Mesa Digitalizadora Huion Led Light LA3 - Micro-USB 415x330mm,Mesa Digitalizadora,58
1604818,Mesa Digitalizadora Wacom Intuos CTL6100WL Bluetooth - Preto,Mesa Digitalizadora,189
1619720,Mesa Digitalizadora Wacom Intuos CTL6100WLE0 Bluetooth - Preto,Mesa Digitalizadora,189
2539768,Mesa Digitalizadora XP-Pen Deco Pro Small,Mesa Digitalizadora,108
2634647,Suporte Huion ST300 para Tablets GrÃ¡ficos Kamvas Preto Prata,Mesa Digitalizadora,58
3164983,MemÃ³ria para Notebook Keepdata 32GB 2666MHz DDR4 KD26S19 32G,Mesa para Notebook,79.9
3164990,MemÃ³ria para Notebook Keepdata 32GB 3200MHz DDR4 KD32S22 32G,Mesa para Notebook,79.9
2526577,Monitor 34 Cooler Master GM34-CW Curved 1500R 1ms 144Hz,Monitores,585
2639628,Monitor Curve Gaming MSI 23.6 Optix G24C FHD 1ms 144Hz HDMI DP Preto Vermelho,Monitores,226
805896,Monitor Curve Samsung 24 C24F390FHL LED Full HD VGA HDMI,Monitores,136
2642222,Monitor Curve Samsung 27.0 LC27G55TQWLX WQHD 1ms 144Hz HDMI DP,Monitores,322
2667683,Monitor Curved Acer 32.0 XZ320Q Xbmiiphx 1ms 240Hz Full HD DP HDMI,Monitores,383
3129067,Monitor Curved Gaming MSI 31.5 Optix G32CQ4 WQHD 1ms 165Hz HDMI DP,Monitores,440
2577821,Monitor Curved MSI 31.5 Optix G32C4 FHD 1ms 165Hz Gaming Display (1500R),Monitores,299
3060605,Monitor Gaming 27.0 JVC LT-GN27225U 1ms 165Hz Full HD 2xHDMI DP,Monitores,205
2565460,Monitor Gaming Acer 27.0 Nitro XV272 1ms 240Hz Full HD IPS HDMI VGA,Monitores,434
2957050,Monitor Gaming AOC 27.0 G2790VX 1ms 144Hz Full HD HDMI DP,Monitores,195
2864914,Monitor Gaming Asus IPS LED 23.8 VP249QGR FHD HDMI DP 1ms 144Hz Bivolt,Monitores,205
